asset,model_name,check,value,threshold,passed
EEM,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
EEM,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
EEM,PM_CAST_D,timestamp_unique,0.0,0.0,True
EEM,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
EEM,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
EEM,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
FXI,PM_CAST_D,finite_predictions,1.0,1.0,True
FXI,PM_CAST_D,cp_quotient_annihilation,1.3166212886898174e-16,1e-10,True
FXI,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
FXI,PM_CAST_D,fast_scalar_equivalence,4.440892098500626e-16,1e-12,True
FXI,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
FXI,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,9.020562075079396e-17,1e-10,True
FXI,SPECTRAL_RANDOM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
FXI,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,3.747002708109903e-16,1e-12,True
FXI,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
FXI,CONTIGUOUS_CAST_D,cp_quotient_annihilation,1.0335544327870732e-18,1e-10,True
FXI,CONTIGUOUS_CAST_D,weight_sum,7.771561172376097e-16,1e-12,True
FXI,CONTIGUOUS_CAST_D,fast_scalar_equivalence,4.336808689942017e-16,1e-12,True
FXI,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
FXI,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
FXI,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
FXI,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
FXI,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
FXI,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
FXI,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
FXI,PM_CAST_D,timestamp_unique,0.0,0.0,True
FXI,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
FXI,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
FXI,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
GLD,PM_CAST_D,finite_predictions,1.0,1.0,True
GLD,PM_CAST_D,cp_quotient_annihilation,1.3166212886898174e-16,1e-10,True
GLD,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
GLD,PM_CAST_D,fast_scalar_equivalence,3.3306690738754696e-16,1e-12,True
GLD,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
GLD,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,9.020562075079396e-17,1e-10,True
GLD,SPECTRAL_RANDOM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
GLD,SPECTRAL_RANDOM_CAST_D,fast_scalar_equivalence,5.967448757360216e-16,1e-12,True
GLD,CONTIGUOUS_CAST_D,finite_predictions,1.0,1.0,True
GLD,CONTIGUOUS_CAST_D,cp_quotient_annihilation,1.0335544327870732e-18,1e-10,True
GLD,CONTIGUOUS_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
GLD,CONTIGUOUS_CAST_D,fast_scalar_equivalence,5.273559366969495e-16,1e-12,True
GLD,CAST_D_CALIBRATION_ONLY,finite_predictions,1.0,1.0,True
GLD,CAST_D_CALIBRATION_ONLY,cp_quotient_annihilation,0.0,1e-10,True
GLD,CAST_D_CALIBRATION_ONLY,weight_sum,0.0,1e-12,True
GLD,CAST_D_CALIBRATION_ONLY,fast_scalar_equivalence,0.0,1e-12,True
GLD,PM_CAST_D,distribution_interval_monotone_finite,1.0,1.0,True
GLD,PM_CAST_D,exact_cp_nesting,0.0,0.0,True
GLD,PM_CAST_D,tuning_strictly_pre_oos,621.0,621.0,True
GLD,PM_CAST_D,timestamp_unique,0.0,0.0,True
GLD,SPECTRAL_RANDOM_CAST_D,singular_spectrum_match,1.4711102301212644e-15,1e-10,True
GLD,CONTIGUOUS_CAST_D,singular_spectrum_match,2.992485832346952e-17,1e-10,True
GLD,CP_REPO_FRESH,history_warmup_cp_invariance,0.0,1e-12,True
GOOGL,PM_CAST_D,finite_predictions,1.0,1.0,True
GOOGL,PM_CAST_D,cp_quotient_annihilation,1.3166212886898174e-16,1e-10,True
GOOGL,PM_CAST_D,weight_sum,6.661338147750939e-16,1e-12,True
GOOGL,PM_CAST_D,fast_scalar_equivalence,2.220446049250313e-16,1e-12,True
GOOGL,SPECTRAL_RANDOM_CAST_D,finite_predictions,1.0,1.0,True
GOOGL,SPECTRAL_RANDOM_CAST_D,cp_quotient_annihilation,9.020562075079396e-17,1e-10,True
